ndrones,algorithm,completion_time,drone_utilization_time,CT_reduction_perc,UT_increase_perc
2,GREEDY,19235.836013043478,17631.05786956522,0.0,0.0
2,LOCALSEARCH-BFSOPT,18181.438676086957,17832.834473913044,5.799306401111765,1.1444384440262843
2,LOCALSEARCH-HC,18237.844802173913,17858.308106521737,5.472089611984229,1.2889200332601658
2,LOCALSEARCH-LB,18213.630960869566,17857.67650869565,5.612307915813335,1.2853377307644283
4,GREEDY,10485.744610526315,8149.421963157895,0.0,0.0
4,LOCALSEARCH-BFSOPT,9078.51757631579,8575.173097368423,15.500625761652174,5.224310830084309
4,LOCALSEARCH-HC,9183.531884210526,8545.733415789473,14.179868298325568,4.863062121745959
4,LOCALSEARCH-LB,9063.180273684211,8539.548684210526,15.696083426395614,4.787170462105468
6,GREEDY,7853.032902564103,5302.625774358975,0.0,0.0
6,LOCALSEARCH-BFSOPT,6595.510133333333,5767.926994871795,19.06634579902048,8.77492096015524
6,LOCALSEARCH-HC,6637.142620512821,5702.783558974359,18.31948402454754,7.546408169144438
6,LOCALSEARCH-LB,6552.235289743589,5684.8427794871795,19.85273048507112,7.2080705181276
8,GREEDY,6576.151272413794,3919.6277586206897,0.0,0.0
8,LOCALSEARCH-BFSOPT,5477.770955172414,4273.908334482759,20.051592631930486,9.038628096325647
8,LOCALSEARCH-HC,5515.449355172414,4259.785006896552,19.23146871517638,8.678304911167452
8,LOCALSEARCH-LB,5431.373651724138,4250.794779310345,21.077128809325377,8.44894059037362
10,GREEDY,5831.877116129032,3012.901312903226,0.0,0.0
10,LOCALSEARCH-BFSOPT,4936.115519354839,3420.301222580645,18.147095489598087,13.521847128967174
10,LOCALSEARCH-HC,5043.6106967741935,3325.258009677419,15.629009984037838,10.367305939841978
10,LOCALSEARCH-LB,4892.752222580645,3343.5902903225806,19.194205036874994,10.975765319731078
12,GREEDY,5320.9872128205125,2451.6057846153844,0.0,0.0
12,LOCALSEARCH-BFSOPT,4701.716848717949,2789.7018692307693,13.171153942871413,13.79080138972777
12,LOCALSEARCH-HC,4703.051576923077,2690.7748333333334,13.139035917222783,9.755607945568237
12,LOCALSEARCH-LB,4693.332323076923,2696.3866435897435,13.373331495352167,9.984511396996929
14,GREEDY,5121.903902380953,2028.2165023809523,0.0,0.0
14,LOCALSEARCH-BFSOPT,4483.559623809524,2265.912169047619,14.237443730681335,11.719442494804296
14,LOCALSEARCH-HC,4493.195342857142,2218.451642857143,13.992459965562634,9.379429673946088
14,LOCALSEARCH-LB,4484.439071428571,2208.492921428571,14.215040516746498,8.88842087794818
16,GREEDY,5019.380270454545,1724.2397068181817,0.0,0.0
16,LOCALSEARCH-BFSOPT,4401.437972727273,1970.5975136363638,14.039554835402477,14.287909380813264
16,LOCALSEARCH-HC,4441.488925,1899.9452818181817,13.011207620078563,10.19032181576641
16,LOCALSEARCH-LB,4403.3973000000005,1901.8949954545453,13.988812012364736,10.303398531762095
18,GREEDY,4824.833831111111,1492.104908888889,0.0,0.0
18,LOCALSEARCH-BFSOPT,4412.045982222222,1681.563411111111,9.355928078541458,12.69739822539048
18,LOCALSEARCH-HC,4419.588771111112,1653.3904222222222,9.169293366136374,10.809260955614452
18,LOCALSEARCH-LB,4416.505295555556,1652.0884177777777,9.245512191878657,10.722001377773235
20,GREEDY,4714.012375555555,1323.6537022222221,0.0,0.0
20,LOCALSEARCH-BFSOPT,4357.225653333333,1493.250531111111,8.188392123994674,12.81277940024347
20,LOCALSEARCH-HC,4357.650044444445,1462.4742111111111,8.177855667079918,10.487675791321365
20,LOCALSEARCH-LB,4357.650044444445,1462.2802622222223,8.177855667079918,10.473023251267783
22,GREEDY,4706.704821276596,1193.2290468085107,0.0,0.0
22,LOCALSEARCH-BFSOPT,4341.453165957447,1326.8432659574466,8.413119786323845,11.197700852682843
22,LOCALSEARCH-HC,4341.85949787234,1306.4729914893617,8.402973969633106,9.49054542241833
22,LOCALSEARCH-LB,4341.85949787234,1306.4729914893617,8.402973969633106,9.49054542241833
24,GREEDY,4610.644631111111,1065.4405177777776,0.0,0.0
24,LOCALSEARCH-BFSOPT,4242.498968888889,1196.126591111111,8.677566333472546,12.26591922803063
24,LOCALSEARCH-HC,4242.498968888889,1164.901488888889,8.677566333472546,9.33519698674124
24,LOCALSEARCH-LB,4242.498968888889,1163.8182000000002,8.677566333472546,9.233521776270717
26,GREEDY,4482.329261363636,962.6803772727272,0.0,0.0
26,LOCALSEARCH-BFSOPT,4175.035706818182,1064.9357409090908,7.360261710902683,10.621943279456149
26,LOCALSEARCH-HC,4175.035706818182,1048.6883295454545,7.360261710902683,8.934216828682821
26,LOCALSEARCH-LB,4175.035706818182,1047.6656431818183,7.360261710902683,8.827983608625557
28,GREEDY,4426.2247355555555,884.5381666666666,0.0,0.0
28,LOCALSEARCH-BFSOPT,4143.582082222222,967.0840222222223,6.821215260728002,9.332085224386102
28,LOCALSEARCH-HC,4143.582082222222,958.4950933333332,6.821215260728002,8.361078069176962
28,LOCALSEARCH-LB,4143.582082222222,958.1896977777777,6.821215260728002,8.326552079562928
30,GREEDY,4358.168262222222,817.7761888888889,0.0,0.0
30,LOCALSEARCH-BFSOPT,4086.3626533333336,907.1541688888889,6.651529292613596,10.929393789447172
30,LOCALSEARCH-HC,4086.3626533333336,885.7442155555556,6.651529292613596,8.31132375705567
30,LOCALSEARCH-LB,4086.3626533333336,884.8775844444444,6.651529292613596,8.205349638111388
