ndrones,algorithm,completion_time,Fly,Battery Replacement,(un)Load,Wait,Unused,,utilization = fly + swap + (un)load,,,,
2,GREEDY,1,0.884002968,0.022173288,0.010397261,0,0.083426483,,0.916573517,,0.946721082,0.053278918,
2,LS-HC,0.948118127,0.895240498,0.022342809,0.01080411,0.000139426,0.019591283,,0.928387417,,0.927935045,,
2,LS-LB,0.946859339,0.895185061,0.022275001,0.010894521,0.000139426,0.01836533,,0.928354583,,,,
2,LS-BFSOPT,0.945185781,0.893746698,0.022308905,0.011007535,0.000139426,0.017983217,,0.927063137,,,,
4,GREEDY,1,0.750487663,0.017166163,0.009536757,0,0.222809417,,0.777190583,,0.868646934,0.131353066,
4,LS-HC,0.875811135,0.787454731,0.017392033,0.010139079,0.000482842,0.060342449,,0.814985843,,0.8157251,,
4,LS-LB,0.864333494,0.786513554,0.017467324,0.010415143,0.000965558,0.048971915,,0.814396021,,,,
4,LS-BFSOPT,0.865796175,0.789685098,0.017542614,0.010565723,0.001523854,0.046478887,,0.817793434,,,,
6,GREEDY,1,0.653683113,0.013060445,0.008489293,0,0.324767149,,0.675232851,,0.839798173,0.160201827,
6,LS-HC,0.845169338,0.703256711,0.013615514,0.00931645,0.003527579,0.115453084,,0.726188675,,0.728192261,,
6,LS-LB,0.834357295,0.701048331,0.013452258,0.00940352,0.003369295,0.107083891,,0.723904109,,,,
6,LS-BFSOPT,0.839867885,0.710670453,0.013713467,0.010100078,0.005234892,0.100148995,,0.734483998,,,,
8,GREEDY,1,0.578169145,0.010264362,0.007603231,0,0.403963261,,0.596036739,,0.83253326,0.16746674,
8,LS-HC,0.838704757,0.629003617,0.010500325,0.008258682,0.005221611,0.185720521,,0.647762624,,0.648022812,,
8,LS-LB,0.825919817,0.627479213,0.010500325,0.008415991,0.005581661,0.173942626,,0.646395529,,,,
8,LS-BFSOPT,0.832975205,0.630744896,0.010303689,0.008861697,0.009568221,0.173496702,,0.649910283,,,,
10,GREEDY,1,0.50147048,0.008297002,0.006858855,0,0.483373663,,0.516626337,,0.850068119,0.149931881,
10,LS-HC,0.864834872,0.554698833,0.007699618,0.007788119,0.018324557,0.276323745,,0.57018657,,0.576666787,,
10,LS-LB,0.838966961,0.55786442,0.007566866,0.007898746,0.019964624,0.245672306,,0.573330031,,,,
10,LS-BFSOPT,0.846402525,0.570453953,0.007400926,0.008628882,0.031216571,0.228702194,,0.586483761,,,,
12,GREEDY,1,0.447490827,0.006987329,0.006264495,0,0.539257349,,0.460742651,,0.883175758,0.116824242,
12,LS-HC,0.883868235,0.49242301,0.006023559,0.007244333,0.024095886,0.354081447,,0.505690902,,0.51223974,,
12,LS-LB,0.882041647,0.493517823,0.005999465,0.00722827,0.022798866,0.352497222,,0.506745558,,,,
12,LS-BFSOPT,0.883617393,0.510661485,0.005975371,0.007645905,0.027047142,0.33228749,,0.52428276,,,,
14,GREEDY,1,0.384294316,0.006116188,0.005578277,0,0.604011218,,0.395988782,,0.876054054,0.123945946,
14,LS-HC,0.877251005,0.421376036,0.005219679,0.00653456,0.02842692,0.415693809,,0.433130275,,0.435570891,,
14,LS-LB,0.875541431,0.419444978,0.005259523,0.006481433,0.024836847,0.41951865,,0.431185934,,,,
14,LS-BFSOPT,0.875369728,0.430728555,0.004880998,0.00678691,0.032542304,0.40043096,,0.442396464,,,,
16,GREEDY,1,0.333068314,0.005467444,0.004980695,0,0.656483547,,0.343516453,,0.879678598,0.120321402,LS solutions have CT 12% faster than GREEDY 
16,LS-HC,0.884867989,0.367966209,0.004601483,0.005954194,0.025206897,0.481139207,,0.378521885,,0.383343327,0.039826874,LS solutions have 4% more DRONE UTILIZATION  than GREEDY 
16,LS-LB,0.877279079,0.368354646,0.004669401,0.005886275,0.022302762,0.476065994,,0.378910322,,,,
16,LS-BFSOPT,0.876888727,0.382138314,0.004380747,0.006078711,0.024127197,0.460163757,,0.392597773,,,,
18,GREEDY,1,0.299675127,0.004974264,0.004605796,0,0.690744813,,0.309255187,,0.915274357,0.084725643,
18,LS-HC,0.916008494,0.33313915,0.004068459,0.005475784,0.024354161,0.548970939,,0.342683393,,0.344539829,,
18,LS-LB,0.91536941,0.332843707,0.004114517,0.005455314,0.023835926,0.549119945,,0.342413538,,,,
18,LS-BFSOPT,0.914445168,0.339044839,0.003899581,0.005578136,0.025524026,0.540398586,,0.348522556,,,,
20,GREEDY,1,0.271895843,0.004652795,0.00424267,0,0.719208692,,0.280791308,,0.924373598,0.075626402,
20,LS-HC,0.924403607,0.301386752,0.003790119,0.00506292,0.022422334,0.591741483,,0.31023979,,0.312402306,,
20,LS-LB,0.924403607,0.301369179,0.003775977,0.005053492,0.022422334,0.591782626,,0.310198647,,,,
20,LS-BFSOPT,0.924313579,0.308061577,0.003577985,0.005128917,0.023914724,0.583630376,,0.316768479,,,,
22,GREEDY,1,0.245437522,0.004216381,0.003862957,0,0.74648314,,0.25351686,,0.92245514,0.07754486,
22,LS-HC,0.922483917,0.26961272,0.00342735,0.004536924,0.019414907,0.625492015,,0.277576995,,0.272643943,,
22,LS-LB,0.922483917,0.26961272,0.00342735,0.004536924,0.019414907,0.625492015,,0.277576995,,,,
22,LS-BFSOPT,0.922397586,0.274006401,0.003279405,0.004619116,0.023022385,0.617470279,,0.281904922,,,,
24,GREEDY,1,0.223612132,0.003855812,0.003614831,0,0.768917225,,0.231082775,,0.920153104,0.079846896,
24,LS-HC,0.920153104,0.245256459,0.003084649,0.00431369,0.019465553,0.648032752,,0.252654799,,0.254833945,,
24,LS-LB,0.920153104,0.245021506,0.003084649,0.00431369,0.019465553,0.648267706,,0.252419845,,,,
24,LS-BFSOPT,0.920153104,0.252125248,0.002940056,0.004361888,0.019471595,0.641254316,,0.259427193,,,,
26,GREEDY,1,0.207771275,0.003568793,0.003432278,0,0.785227655,,0.214772345,,0.931443333,0.068556667,
26,LS-HC,0.931443333,0.227025807,0.002878437,0.004056332,0.016732177,0.68075058,,0.233960576,,0.23509278,,
26,LS-LB,0.931443333,0.226797648,0.002878437,0.004056332,0.016732177,0.680978739,,0.233732417,,,,
26,LS-BFSOPT,0.931443333,0.230728582,0.002784831,0.004071934,0.018396326,0.675461661,,0.237585346,,,,
28,GREEDY,1,0.193309977,0.003302823,0.003227513,0,0.800159687,,0.199840313,,0.936143628,0.063856372,
28,LS-HC,0.936143628,0.210065404,0.002646563,0.003837161,0.016187256,0.703407244,,0.216549128,,0.21717295,,
28,LS-LB,0.936143628,0.21002151,0.002635805,0.003822816,0.016157283,0.703506214,,0.216480132,,,,
28,LS-BFSOPT,0.936143628,0.212066831,0.002592771,0.003829987,0.015859197,0.701794842,,0.218489589,,,,
30,GREEDY,1,0.181482608,0.003100181,0.003059382,0,0.812357829,,0.187642171,,0.937633062,0.062366938,
30,LS-HC,0.937633062,0.197156341,0.002457709,0.003623676,0.014749114,0.719646221,,0.203237727,,0.204808978,,
30,LS-LB,0.937633062,0.196957489,0.002457709,0.003623676,0.014749114,0.719845074,,0.203038874,,,,
30,LS-BFSOPT,0.937633062,0.202157328,0.002376126,0.003616878,0.013277366,0.716205365,,0.208150332,,,,
