nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time,perc_flight_time,perc_swap_time,perc_load_unload_time,perc_waiting_time,diff_demand-cons
20,5,2,1,GREEDY,8771.8139,8140.0201,7890.0201,150,100,0,4921.5156,55230.1404,2.2497,2.5,8140.0201,0.928,0,0,0.216379333,0.969287545,0.018427473,0.012284982,0,1.2503
20,5,2,1,LOCALSEARCH-LB,8718.0833,8276.0393,8036.0393,120,120,0,4975.9233,56252.2752,2.2697,2,8276.0393,0.9493,1,0.2,0.270786693,0.971000621,0.014499689,0.014499689,0,0.7303
20,5,2,1,LOCALSEARCH-HC,8718.0833,8276.0393,8036.0393,120,120,0,4975.9233,56252.2752,2.2697,2,8276.0393,0.9493,1,0.2,0.269558865,0.971000621,0.014499689,0.014499689,0,0.7303
20,5,2,1,LOCALSEARCH-BFSOPT,8718.0833,8276.0393,8036.0393,120,120,0,4975.9233,56252.2752,2.2697,2,8276.0393,0.9493,1,0.2,0.278790955,0.971000621,0.014499689,0.014499689,0,0.7303
20,5,2,2,GREEDY,12235.3399,11434.0577,11124.0577,210,100,0,6831.482,77868.4041,3.5021,3.5,11434.0577,0.9345,0,0,0.21246531,0.972888015,0.018366183,0.008745802,0,0.9979
20,5,2,2,LOCALSEARCH-LB,11874.893,11434.0577,11124.0577,210,100,0,6831.482,77868.4041,3.5021,3.5,11434.0577,0.9629,0,0,0.366726851,0.972888015,0.018366183,0.008745802,0,0.9979
20,5,2,2,LOCALSEARCH-HC,11874.893,11434.0577,11124.0577,210,100,0,6831.482,77868.4041,3.5021,3.5,11434.0577,0.9629,0,0,0.310851405,0.972888015,0.018366183,0.008745802,0,0.9979
20,5,2,2,LOCALSEARCH-BFSOPT,11874.893,11434.0577,11124.0577,210,100,0,6831.482,77868.4041,3.5021,3.5,11434.0577,0.9629,0,0,0.372744031,0.972888015,0.018366183,0.008745802,0,0.9979
20,5,2,3,GREEDY,10022.8718,7092.2386,6842.2386,150,100,0,4858.698,47895.6701,2.5878,2.5,7092.2386,0.7076,0,0,0.209048295,0.964750199,0.021149881,0.01409992,0,0.9122
20,5,2,3,LOCALSEARCH-LB,10022.8718,7092.2386,6842.2386,150,100,0,4858.698,47895.6701,2.5878,2.5,7092.2386,0.7076,0,0,0.228439766,0.964750199,0.021149881,0.01409992,0,0.9122
20,5,2,3,LOCALSEARCH-HC,10022.8718,7092.2386,6842.2386,150,100,0,4858.698,47895.6701,2.5878,2.5,7092.2386,0.7076,0,0,0.228566109,0.964750199,0.021149881,0.01409992,0,0.9122
20,5,2,3,LOCALSEARCH-BFSOPT,10022.8718,7092.2386,6842.2386,150,100,0,4858.698,47895.6701,2.5878,2.5,7092.2386,0.7076,0,0,0.230802872,0.964750199,0.021149881,0.01409992,0,0.9122
20,5,2,4,GREEDY,11460.2881,10024.2577,9714.2577,210,100,0,6977.5072,67999.8038,3.0062,3.5,10024.2577,0.8747,0,0,0.212313361,0.969075017,0.020949182,0.009975801,0,1.4938
20,5,2,4,LOCALSEARCH-LB,10347.7826,10104.2692,9774.2692,210,120,0,7009.5118,68419.8847,3.0117,3.5,10104.2692,0.9765,1,0.2,0.499674593,0.967340538,0.020783294,0.011876168,0,1.4883
