nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,mean_number_parcel_handover,execution_time,CT_reduction_perc,UT_increase_perc
20,5,2,1,GREEDY,8771.8139,2.2497,2.5,8140.0201,0.928,0,0.216379333,0.0,0.0
20,5,2,1,LOCALSEARCH-LB,8718.0833,2.2697,2,8276.0393,0.9493,0.2,0.270786693,-0.6125369349205979,1.6709934168344454
20,5,2,1,LOCALSEARCH-HC,8718.0833,2.2697,2,8276.0393,0.9493,0.2,0.269558865,-0.6125369349205979,1.6709934168344454
20,5,2,1,LOCALSEARCH-BFSOPT,8718.0833,2.2697,2,8276.0393,0.9493,0.2,0.278790955,-0.6125369349205979,1.6709934168344454
20,5,2,2,GREEDY,12235.3399,3.5021,3.5,11434.0577,0.9345,0,0.21246531,0.0,0.0
20,5,2,2,LOCALSEARCH-LB,11874.893,3.5021,3.5,11434.0577,0.9629,0,0.366726851,-2.945949217152527,0.0
20,5,2,2,LOCALSEARCH-HC,11874.893,3.5021,3.5,11434.0577,0.9629,0,0.310851405,-2.945949217152527,0.0
20,5,2,2,LOCALSEARCH-BFSOPT,11874.893,3.5021,3.5,11434.0577,0.9629,0,0.372744031,-2.945949217152527,0.0
20,5,2,3,GREEDY,10022.8718,2.5878,2.5,7092.2386,0.7076,0,0.209048295,0.0,0.0
20,5,2,3,LOCALSEARCH-LB,10022.8718,2.5878,2.5,7092.2386,0.7076,0,0.228439766,0.0,0.0
20,5,2,3,LOCALSEARCH-HC,10022.8718,2.5878,2.5,7092.2386,0.7076,0,0.228566109,0.0,0.0
20,5,2,3,LOCALSEARCH-BFSOPT,10022.8718,2.5878,2.5,7092.2386,0.7076,0,0.230802872,0.0,0.0
20,5,2,4,GREEDY,11460.2881,3.0062,3.5,10024.2577,0.8747,0,0.212313361,0.0,0.0
20,5,2,4,LOCALSEARCH-LB,10347.7826,3.0117,3.5,10104.2692,0.9765,0.2,0.499674593,-9.707482833699437,0.7981788018079435
20,5,2,4,LOCALSEARCH-HC,10433.8237,3.0237,3.5,10234.2893,0.9809,0.2,0.337075537,-8.956706769003468,2.0952334455647548
20,5,2,4,LOCALSEARCH-BFSOPT,10347.7826,3.0117,3.5,10104.2692,0.9765,0.2,0.498580033,-9.707482833699437,0.7981788018079435
20,5,2,5,GREEDY,7601.3242,2.1753,2,7400.4501,0.9736,0,0.212575349,0.0,0.0
