nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time
20,15,2,1,GREEDY,21024.2766,20640.4668,19770.4668,570.0,300.0,0.0, 9963.6809,138393.2678,7.2581,9.5,20640.4668,0.9817,0,0.0,1.776205332
20,15,2,1,LOCALSEARCH-LB,21024.2766,20640.4668,19770.4668,570.0,300.0,0.0, 9963.6809,138393.2678,7.2581,9.5,20640.4668,0.9817,0,0.0,2.3501968619999998
20,15,2,1,LOCALSEARCH-HC,21024.2766,20640.4668,19770.4668,570.0,300.0,0.0, 9963.6809,138393.2678,7.2581,9.5,20640.4668,0.9817,0,0.0,2.422705185
20,15,2,1,LOCALSEARCH-BFSOPT,21024.2766,20640.4668,19770.4668,570.0,300.0,0.0, 9963.6809,138393.2678,7.2581,9.5,20640.4668,0.9817,0,0.0,2.371332551
20,15,2,2,GREEDY,25169.1658,24759.4504,23739.4504,720.0,300.0,-0.0, 11797.2691,166176.1528,8.8841,12.0,24759.4504,0.9837,0,0.0,1.786811507
20,15,2,2,LOCALSEARCH-LB,25169.1658,24759.4504,23739.4504,720.0,300.0,-0.0, 11797.2691,166176.1528,8.8841,12.0,24759.4504,0.9837,0,0.0,2.9161406110000003
20,15,2,2,LOCALSEARCH-HC,25169.1658,24759.4504,23739.4504,720.0,300.0,-0.0, 11797.2691,166176.1528,8.8841,12.0,24759.4504,0.9837,0,0.0,2.926961798
20,15,2,2,LOCALSEARCH-BFSOPT,25169.1658,24759.4504,23739.4504,720.0,300.0,-0.0, 11797.2691,166176.1528,8.8841,12.0,24759.4504,0.9837,0,0.0,2.943121842
20,15,2,3,GREEDY,26320.9382,22806.6302,21876.6302,630.0,300.0,-0.0, 9876.1087,153136.4117,8.4978,10.5,22806.6302,0.8665,0,0.0,1.7560376629999999
20,15,2,3,LOCALSEARCH-LB,23621.9711,23604.3015,22684.3015,600.0,320.0,0.0, 10375.1084,158790.1104,8.5724,10.0,23604.3015,0.9993,1,0.0667,13.039328503
20,15,2,3,LOCALSEARCH-HC,23923.6766,23857.8727,22897.8727,660.0,300.0,-0.0, 11503.2079,160285.1088,8.5921,11.0,23857.8727,0.9972,0,0.0,3.5023366339999997
20,15,2,3,LOCALSEARCH-BFSOPT,23322.2941,23236.2274,22296.2274,600.0,340.0,0.0, 10190.5776,156073.5921,8.5366,10.0,23236.2274,0.9963,1,0.0667,38.202111970000004
20,15,2,4,GREEDY,26707.6508,24010.7438,23110.7438,600.0,300.0,0.0, 11963.6291,161775.2069,8.1509,10.0,24010.7438,0.899,0,0.0,1.8216867400000005
20,15,2,4,LOCALSEARCH-LB,24457.5501,24455.685,23505.685,630.0,320.0,0.0, 12141.6056,164539.7953,8.4601,10.5,24455.685,0.9999,1,0.0667,12.627752665
20,15,2,4,LOCALSEARCH-HC,24457.5501,24455.685,23505.685,630.0,320.0,0.0, 12141.6056,164539.7953,8.4601,10.5,24455.685,0.9999,1,0.0667,4.631485006
20,15,2,4,LOCALSEARCH-BFSOPT,24457.5501,24455.685,23505.685,630.0,320.0,0.0, 12141.6056,164539.7953,8.4601,10.5,24455.685,0.9999,1,0.0667,31.67907176300001
20,15,2,5,GREEDY,22632.4019,21720.2398,20820.2398,600.0,300.0,-0.0, 10582.0331,145741.6788,7.8173,10.0,21720.2398,0.9597,0,0.0,1.7615966160000003
20,15,2,5,LOCALSEARCH-LB,22177.4505,21720.2398,20820.2398,600.0,300.0,0.0, 10616.3632,145741.6788,7.8173,10.0,21720.2398,0.9794,0,0.0,4.312043407999994
20,15,2,5,LOCALSEARCH-HC,22177.4505,21720.2398,20820.2398,600.0,300.0,0.0, 10616.3632,145741.6788,7.8173,10.0,21720.2398,0.9794,0,0.0,3.4555476549999984
20,15,2,5,LOCALSEARCH-BFSOPT,22177.4505,21720.2398,20820.2398,600.0,300.0,0.0, 10616.3632,145741.6788,7.8173,10.0,21720.2398,0.9794,0,0.0,4.380880470000008
20,15,2,6,GREEDY,27165.9967,26018.1735,24998.1735,720.0,300.0,-0.0, 12234.6628,174987.2143,9.5959,12.0,26018.1735,0.9577,0,0.0,1.7836522590000001
20,15,2,6,LOCALSEARCH-LB,26131.2267,26116.4951,25076.4951,720.0,320.0,0.0, 12260.8819,175535.4657,9.6031,12.0,26116.4951,0.9994,1,0.0667,8.036665129
20,15,2,6,LOCALSEARCH-HC,26131.2267,26116.4951,25076.4951,720.0,320.0,0.0, 12260.8819,175535.4657,9.6031,12.0,26116.4951,0.9994,1,0.0667,4.228039783
20,15,2,6,LOCALSEARCH-BFSOPT,26131.2267,26116.4951,25076.4951,720.0,320.0,0.0, 12260.8819,175535.4657,9.6031,12.0,26116.4951,0.9994,1,0.0667,8.051785505000012
20,15,2,7,GREEDY,23446.252,23196.9103,22296.9103,600.0,300.0,0.0, 11822.0442,156078.3722,7.8516,10.0,23196.9103,0.9894,0,0.0,1.776586249000001
20,15,2,7,LOCALSEARCH-LB,23446.252,23196.9103,22296.9103,600.0,300.0,0.0, 11822.0442,156078.3722,7.8516,10.0,23196.9103,0.9894,0,0.0,2.824264033999995
20,15,2,7,LOCALSEARCH-HC,23446.252,23196.9103,22296.9103,600.0,300.0,0.0, 11822.0442,156078.3722,7.8516,10.0,23196.9103,0.9894,0,0.0,2.802195660999999
20,15,2,7,LOCALSEARCH-BFSOPT,23446.252,23196.9103,22296.9103,600.0,300.0,0.0, 11822.0442,156078.3722,7.8516,10.0,23196.9103,0.9894,0,0.0,2.8083852449999966
20,15,2,8,GREEDY,28448.6519,26717.5852,25727.5852,690.0,300.0,0.0, 13556.0765,180093.0963,9.4954,11.5,26717.5852,0.9392,0,0.0,1.8196356180000013
20,15,2,8,LOCALSEARCH-LB,27286.4608,27154.901,26164.901,690.0,300.0,-0.0, 13925.0998,183154.3071,9.5357,11.5,27154.901,0.9952,0,0.0,8.059106268999997
20,15,2,8,LOCALSEARCH-HC,27286.4608,27154.901,26164.901,690.0,300.0,-0.0, 13925.0998,183154.3071,9.5357,11.5,27154.901,0.9952,0,0.0,3.725208889000001
